
RE,1,8813208
IT,1,190583
RE,2,89833
IT,2,53042
RE,3,77334
IT,3,50000
RE,4,97625
IT,4,67375
RE,5,95625
IT,5,53458
RE,6,229750
IT,6,57042
RE,7,102000
IT,7,44875
RE,8,104042
IT,8,42000
RE,9,103583
IT,9,42958
RE,10,115084
IT,10,44083
RE,11,322833
IT,11,45417
RE,12,125125
IT,12,41791
RE,13,121291
IT,13,40000
RE,14,142083
IT,14,53333
RE,15,132417
IT,15,42333
RE,16,146500
IT,16,38042
RE,17,135792
IT,17,46417
RE,18,137625
IT,18,38667
RE,19,163375
IT,19,52208
RE,20,144250
IT,20,36792
RE,21,141083
IT,21,41167
RE,22,156375
IT,22,46416
RE,23,146958
IT,23,38250
RE,24,169042
IT,24,41500
RE,25,189583
IT,25,38167
RE,26,172459
IT,26,37958
RE,27,167459
IT,27,32750
RE,28,175958
IT,28,36958
RE,29,192084
IT,29,37542
RE,30,434458
IT,30,45833
RE,31,185000
IT,31,36000
RE,32,185167
IT,32,100042
RE,33,181834
IT,33,38458
RE,34,784458
IT,34,55791
RE,35,281042
IT,35,34833
RE,36,193583
IT,36,36208
RE,37,463125
IT,37,42083
RE,38,203084
IT,38,34292
RE,39,238000
IT,39,37292
RE,40,153459
IT,40,32292
RE,41,473541
IT,41,34333
RE,42,338875
IT,42,44542
RE,43,145458
IT,43,35042
RE,44,146958
IT,44,27333
RE,45,128125
IT,45,25333
RE,46,223000
IT,46,22125
RE,47,121000
IT,47,20417
RE,48,435209
IT,48,105125
RE,49,340500
IT,49,80416
RE,50,672125
IT,50,82458
RE,51,418292
IT,51,25792
RE,52,124792
IT,52,20875
RE,53,109459
IT,53,18375
RE,54,116167
IT,54,33459
RE,55,176250
IT,55,26042
RE,56,118041
IT,56,986125
RE,57,173042
IT,57,21750
RE,58,118458
IT,58,19792
RE,59,125375
IT,59,19750
RE,60,117500
IT,60,27625
RE,61,124625
IT,61,21125
RE,62,128083
IT,62,21958
RE,63,945958
IT,63,61916
RE,64,321667
IT,64,42250
RE,65,106500
IT,65,21541
RE,66,117667
IT,66,19708
RE,67,112500
IT,67,19250
RE,68,114250
IT,68,18250
RE,69,110458
IT,69,18542
RE,70,112541
IT,70,18334
RE,71,121625
IT,71,19958
RE,72,120958
IT,72,19584
RE,73,116375
IT,73,21041
RE,74,120250
IT,74,22667
RE,75,126667
IT,75,26125
RE,76,117417
IT,76,19375
RE,77,116000
IT,77,18292
RE,78,126958
IT,78,23042
RE,79,343791
IT,79,24042
RE,80,117583
IT,80,22334
RE,81,96750
IT,81,19459
RE,82,93500
IT,82,19750
RE,83,103125
IT,83,17791
RE,84,144667
IT,84,21833
RE,85,108959
IT,85,18042
RE,86,112792
IT,86,19333
RE,87,90417
IT,87,18042
RE,88,104333
IT,88,18167
RE,89,95166
IT,89,17833
RE,90,109792
IT,90,18375
RE,91,108875
IT,91,19958
RE,92,96250
IT,92,140583
RE,93,112459
IT,93,22542
RE,94,100209
IT,94,20667
RE,95,101292
IT,95,18292
RE,96,107042
IT,96,22000
RE,97,102458
IT,97,16875
RE,98,111042
IT,98,21458
RE,99,106708
IT,99,18084
RE,100,108542
IT,100,18125
RE,101,110792
IT,101,17417
RE,100,111000
IT,100,16959
RE,200,486959
IT,200,175083
RE,300,954292
IT,300,46834
RE,400,776250
IT,400,51541
RE,500,1148709
IT,500,49000
RE,600,1553334
IT,600,38875
RE,700,2046083
IT,700,42375
RE,800,2609583
IT,800,45875
RE,900,3418791
IT,900,47375
RE,1000,4057834
IT,1000,59708
